Accident_Index;longitude;latitude;Police_Force;Accident_Severity;Number_of_Vehicles;Number_of_Casualties;Day_of_Week;Time;Local_Authority_(District);Local_Authority_(Highway);1st_Road_Class;1st_Road_Number;Road_Type;Speed_limit;Junction_Detail;Junction_Control;2nd_Road_Class;2nd_Road_Number;Pedestrian_Crossing-Human_Control;Pedestrian_Crossing-Physical_Facilities;Light_Conditions;Weather_Conditions;Road_Surface_Conditions;Special_Conditions_at_Site;Carriageway_Hazards;Urban_or_Rural_Area;Did_Police_Officer_Attend_Scene_of_Accident;LSOA_of_Accident_Location;Date
1;7.861.039.332;1.472.402.585;1;2;1;1;3;17:42;12;E09000020;3;3218;6;30;0;-1;-1;0;0;1;1;2;2;0;0;1;1;E01002849;04/01/2018
2;7.853.404.158;1.476.235.346;1;3;1;1;4;17:36;12;E09000020;4;450;3;30;6;2;5;0;0;5;4;1;1;0;0;1;1;E01002909;05/01/2018
3;7.847.087.739;1.474.560.635;1;3;2;1;5;00:15;12;E09000020;5;0;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002857;06/01/2018
4;7.855.799.399;1.466.712.796;1;3;1;1;6;10:35;12;E09000020;3;3220;6;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002840;07/01/2018
5;7.857.643.143;1.470.344.275;1;3;1;1;2;21:13;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;7;1;2;0;0;1;1;E01002863;10/01/2018
6;7.853.105.133;1.473.735.895;1;3;2;1;3;12:40;12;E09000020;6;0;6;30;0;-1;-1;0;0;0;1;2;2;6;0;1;1;E01002832;11/01/2018
7;7.851.672.417;1.477.949.108;1;3;2;1;5;20:40;12;E09000020;5;0;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002875;13/01/2018
8;7.857.055.271;1.474.135.682;1;3;1;2;6;17:35;12;E09000020;3;315;3;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002889;14/01/2018
9;7.851.020.892;1.467.901.549;1;3;2;2;7;22:43;12;E09000020;3;3212;6;30;6;2;4;304;0;5;4;1;1;0;0;1;1;E01002900;15/01/2018
10;7.856.704.157;147.992.631;1;3;2;5;7;16:00;12;E09000020;4;450;6;30;3;4;5;0;0;8;1;1;1;0;0;1;1;E01002875;15/01/2018
11;7.863.085.265;1.480.453.592;1;3;1;1;1;00:42;12;E09000020;3;4;6;30;6;2;4;325;0;5;4;1;1;0;0;1;1;E01002835;16/01/2018
12;7.856.039.757;1.472.807.038;1;3;2;1;3;20:48;12;E09000020;3;3220;6;30;6;2;3;308;0;5;4;1;2;0;0;1;1;E01002912;25/01/2018
13;7.854.800.398;1.473.695.141;1;3;1;1;3;12:55;12;E09000020;6;0;2;30;3;4;3;3220;0;1;1;2;2;0;0;1;1;E01002849;11/01/2018
14;7.851.510.124;1.478.661.225;1;3;2;1;3;05:01;12;E09000020;3;3217;2;30;3;4;3;3216;0;0;4;2;2;0;0;1;1;E01002902;18/01/2018
15;7.854.884.501;1.476.177.454;1;3;1;2;3;11:15;12;E09000020;3;4;3;30;0;-1;-1;0;0;0;1;1;1;0;0;1;1;E01002821;18/01/2018
16;7.862.517.787;1.479.778.677;1;3;1;1;3;10:50;12;E09000020;3;3217;6;30;3;4;6;0;0;1;1;1;1;0;0;1;1;E01002840;18/01/2018
17;786.056.363;1.475.023.732;1;2;2;1;5;00:15;12;E09000020;6;0;6;30;3;4;6;0;0;0;4;1;1;0;0;1;1;E01002864;20/01/2018
18;7.848.561.567;1.467.274.885;1;3;2;1;6;09:15;12;E09000020;3;3218;6;30;3;4;3;4;0;0;1;1;1;0;0;1;1;E01002821;21/01/2018
19;7.859.611.776;1.476.982.921;1;3;2;1;6;21:16;12;E09000020;4;302;6;30;0;-1;-1;0;0;0;4;1;1;0;0;1;1;E01002901;21/01/2018
